name,league,primary,secondary,tertiary,quaternary
AFC Bournemouth,epl,#e62333,#000000,NA,NA
Arsenal,epl,#ef0107,#023474,#9c824a,NA
Brighton & Hove Albion,epl,#0055a9,#f8bc1b,NA,NA
Burnley,epl,#8ccce5,#53162f,#f9ec34,NA
Chelsea,epl,#034694,#dba111,#ed1c24,NA
Crystal Palace,epl,#1b458f,#c4122e,#a7a5a6,NA
Everton,epl,#274488,NA,NA,NA
Huddersfield Town,epl,#0073d2,NA,NA,NA
Leicester City,epl,#fdbe11,#0053a0,NA,NA
Liverpool,epl,#00a398,#d00027,#fef667,NA
Manchester City,epl,#98c5e9,#00285e,#f4bc46,NA
Manchester United,epl,#da020e,#ffe500,#000000,NA
Newcastle United,epl,#241f20,#00b8f4,#c3a572,NA
Southampton,epl,#ed1a3b,#211e1f,#ffc20e,NA
Stoke City,epl,#e03a3e,#1b449c,NA,NA
Swansea City,epl,#000000,NA,NA,NA
Tottenham Hotspur,epl,#001c58,NA,NA,NA
Watford,epl,#fbee23,#ed2127,#000000,NA
West Bromwich Albion,epl,#091453,NA,NA,NA
West Ham United,epl,#60223b,#f7c240,#5299c6,NA
Arizona Diamondbacks,mlb,#a71930,#000000,#e3d4ad,NA
Atlanta Braves,mlb,#ce1141,#13274f,NA,NA
Baltimore Orioles,mlb,#df4601,#000000,NA,NA
Boston Red Sox,mlb,#bd3039,#0d2b56,NA,NA
Chicago Cubs,mlb,#cc3433,#0e3386,NA,NA
Chicago White Sox,mlb,#000000,#c4ced4,NA,NA
Cincinnati Reds,mlb,#c6011f,#000000,NA,NA
Colorado Rockies,mlb,#333366,#231f20,#c4ced4,NA
Cleveland Guardians,mlb,#e31937,#002b5c,NA,NA
Detroit Tigers,mlb,#0c2c56,#FF6600,NA,NA
Houston Astros,mlb,#002d62,#eb6e1f,NA,NA
Kansas City Royals,mlb,#004687,#c09a5b,NA,NA
Los Angeles Angels,mlb,#ba0021,#003263,NA,NA
Los Angeles Dodgers,mlb,#005a9c,#005a9c,#ef3e42,NA
Miami Marlins,mlb,#ff6600,#0077c8,#ffd100,#000000
Milwaukee Brewers,mlb,#0a2351,#b6922e,NA,NA
Minnesota Twins,mlb,#002b5c,#d31145,NA,NA
New York Mets,mlb,#ff5910,#002d72,NA,NA
New York Yankees,mlb,#003087,#FFFFFF,#e4002b,NA
Oakland Athletics,mlb,#003831,#efb21e,NA,NA
Philadelphia Phillies,mlb,#284898,#e81828,NA,NA
Pittsburgh Pirates,mlb,#fdb827,#000000,NA,NA
San Diego Padres,mlb,#002d62,#fec325,#7f411c,#a0aab2
San Francisco Giants,mlb,#fd5a1e,#000000,#8b6f4e,NA
