name,league,primary,secondary,tertiary,quaternary,division
A&M-Corpus Christi,ncaa,#0067C5,#007F3E,NA,NA,Southland
Abilene Christian Wildcats,ncaa,#461D7C,#FFFFFF,NA,NA,WAC
Air Force,ncaa,#003087,#8A8D8F,#B1B3B3,#FFC72C,MWC
Akron,ncaa,#041E42,#A89968,NA,NA,MAC
Alabama,ncaa,#9E1B32,#828A8F,#FFFFFF,NA,SEC
Alabama A&M,ncaa,#660000,#FFFFFF,NA,NA,SWAC
Alabama State Hornets[i],ncaa,#C99700,#000000,NA,NA,SWAC
UAlbany,ncaa,#461660,#EEB211,NA,NA,Am. East
Alcorn,ncaa,#46166A,#E9A713,NA,NA,SWAC
American Eagles,ncaa,#C4122E,#005099,NA,NA,Patriot
App State,ncaa,#222222,#FFCC00,NA,NA,Sunbelt
Arizona Wildcats,ncaa,#CC0033,#003366,NA,NA,Pac 12
Arizona State Sun Devils,ncaa,#8C1D40,#FFC627,NA,NA,Pac 12
Ark.-Pine Bluff,ncaa,#000000,#EEB310,NA,NA,SWAC
Arkansas Razorbacks,ncaa,#9D2235,#FFFFFF,NA,NA,SEC
Arkansas State Red Wolves,ncaa,#CC092F,#000000,NA,NA,Sunbelt
Army West Point,ncaa,#D4BF91,#000000,#B2B4B3,NA,Patriot
Auburn Tigers,ncaa,#0C2340,#E87722,NA,NA,SEC
Austin Peay,ncaa,#BA0C2F,#000000,NA,NA,A-Sun
Ball State Cardinals,ncaa,#BA0C2F,#000000,NA,NA,MAC
Baylor Bears,ncaa,#003015,#FECB00,NA,NA,Big 12
Bellarmine,ncaa,#752936,#4d4d4d,NA,NA,A-Sun
Belmont Bruins,ncaa,#002469,#C9262D,NA,NA,MVC
Bethune-Cookman,ncaa,#6F263D,#F2A900,NA,NA,SWAC
Binghamton,ncaa,#005A43,#169B62,#BF0D3E,#B1B3B3,Am. East
Boise State Broncos,ncaa,#D64309,#0033A0,NA,NA,MWC
Boston College Eagles,ncaa,#98002E,#BC9B6A,NA,NA,ACC
Boston U.,ncaa,#CC0000,#FFFFFF,NA,NA,Patriot
Bowling Green,ncaa,#FE5000,#4F2C1D,#CDA077,#000000,MAC
Bradley Braves,ncaa,#A50000,#999999,NA,NA,MVC
Brown Bears,ncaa,#4E3629,#FFFFFF,#7C2529,#E4002B,Ivy
Bryant Bulldogs,ncaa,#231F20,#B09863,NA,NA,Am. East
Bucknell Bison,ncaa,#EF5B0C,#003865,NA,NA,Patriot
Buffalo,ncaa,#005BBB,#FFFFFF,NA,NA,MAC
Butler Bulldogs,ncaa,#13294B,#747678,#D1E0D7,#000000,Big East
BYU,ncaa,#002255,#C5AF7D,NA,NA,WCC
Cal Poly,ncaa,#003831,#FFE395,#B38F4F,#000000,Big West
Cal State Fullerton,ncaa,#00274C,#DC8218,NA,NA,Big West
California,ncaa,#003262,#FDB515,#3B7EA1,#C4820E,Pac 12
California Baptist Lancers,ncaa,#002554,#A37400,#AC451E,NA,WAC
Campbell Fighting Camels[l],ncaa,#E87722,#000000,NA,NA,Big South
Canisius,ncaa,#0C2340,#FFBA00,NA,NA,MAAC
Central Ark.,ncaa,#4F2D7F,#818A8F,NA,NA,A-Sun
Central Conn. State,ncaa,#1A4784,#FFFFFF,NA,NA,NEC
Central Michigan Chippewas,ncaa,#6A0032,#FFC82E,NA,NA,MAC
Charleston So.,ncaa,#002855,#A89968,NA,NA,Big South
Charlotte,ncaa,#046A38,#B9975B,#27251F,NA,C-USA
Chattanooga,ncaa,#00386B,#E0AA0F,NA,NA,Southern
Chicago State Cougars,ncaa,#006666,#000000,NA,NA,Independent
Cincinnati Bearcats,ncaa,#E00122,#000000,NA,NA,AAC
Clemson Tigers,ncaa,#F56600,#522D80,NA,NA,ACC
Cleveland State Vikings,ncaa,#006747,#000000,NA,NA,Horizon
Coastal Carolina Chanticleers,ncaa,#006F71,#A27752,#111111,NA,Sunbelt
Col. of Charleston,ncaa,#76232F,#FFFFFF,NA,NA,CAA
Colgate Raiders,ncaa,#862633,#C8C7C7,NA,NA,Patriot
Colorado,ncaa,#CFB87C,#000000,#565A5C,#A2A4A3,Pac 12
Colorado State Rams,ncaa,#1E4D2B,#C8C372,NA,NA,MWC
Columbia,ncaa,#9BCBEB,#003865,NA,NA,Ivy
