name,league,primary,secondary,tertiary,quaternary,quinary,senary,division,logo
Atlanta Dream,wnba,#C8102E,#418FDE,#CED9E5,#0C2340,,,Eastern,
Chicago Sky,wnba,#FFCD00,#418FDE,,,,,Eastern,
Connecticut Sun,wnba,#A6192E,#041E42,#643335,#DC4405,#FFC72C,#FFF0D8,Eastern,
Dallas Wings,wnba,#0C2340,#C4D600,#00A9E0,,,,Western,
Indiana Fever,wnba,#C8102E,#041E42,#FFCD00,,,,Eastern,
Las Vegas Aces,wnba,#BA0C2F,#000000,#85714D,#8A8D8F,,,Western,
Los Angeles Sparks,wnba,#FFC72C,#702F8A,#00B398,#000000,,,Western,
Minnesota Lynx,wnba,#0C2340,#236192,#78BE20,#9EA2A2,,,Western,
New York Liberty,wnba,#6ECEB2,#000000,#FF671F,#003DA5,,,Eastern,
Phoenix Mercury,wnba,#201747,#CB6015,#B1B3B3,#000000,,,Western,
Seattle Storm,wnba,#FBE122,#2C5234,#A2AAAD,,,,Western,
Washington Mystics,wnba,#0C2340,#C8102E,#8A8D8F,,,,Eastern,
